"Step","eager-shadow-1 - train_accuracy","eager-shadow-1 - train_accuracy__MIN","eager-shadow-1 - train_accuracy__MAX","eager-shadow-1 - val_accuracy","eager-shadow-1 - val_accuracy__MIN","eager-shadow-1 - val_accuracy__MAX"
"313","0.9443243243243244","0.9443243243243244","0.9443243243243244","1","1","1"
"315","0.9381081081081082","0.9381081081081082","0.9381081081081082","1","1","1"
"317","0.955135135135135","0.955135135135135","0.955135135135135","1","1","1"
"319","0.9424324324324324","0.9424324324324324","0.9424324324324324","1","1","1"
"321","0.9378378378378376","0.9378378378378376","0.9378378378378376","1","1","1"
"323","0.9508108108108106","0.9508108108108106","0.9508108108108106","1","1","1"
"325","0.9421621621621622","0.9421621621621622","0.9421621621621622","1","1","1"
"327","0.9513513513513512","0.9513513513513512","0.9513513513513512","1","1","1"
"329","0.9527027027027029","0.9527027027027029","0.9527027027027029","1","1","1"
"331","0.954054054054054","0.954054054054054","0.954054054054054","1","1","1"
"333","0.9594594594594594","0.9594594594594594","0.9594594594594594","1","1","1"
"335","0.9513513513513514","0.9513513513513514","0.9513513513513514","1","1","1"
"337","0.9537837837837838","0.9537837837837838","0.9537837837837838","1","1","1"
"339","0.9521621621621621","0.9521621621621621","0.9521621621621621","1","1","1"
"341","0.9489189189189189","0.9489189189189189","0.9489189189189189","1","1","1"
"343","0.951081081081081","0.951081081081081","0.951081081081081","1","1","1"
"345","0.954054054054054","0.954054054054054","0.954054054054054","1","1","1"
"347","0.962972972972973","0.962972972972973","0.962972972972973","1","1","1"
"349","0.958108108108108","0.958108108108108","0.958108108108108","1","1","1"
"351","0.9589189189189188","0.9589189189189188","0.9589189189189188","1","1","1"
"353","0.9545945945945946","0.9545945945945946","0.9545945945945946","1","1","1"
"355","0.9545945945945946","0.9545945945945946","0.9545945945945946","1","1","1"
"357","0.9491891891891893","0.9491891891891893","0.9491891891891893","1","1","1"
"359","0.9543243243243243","0.9543243243243243","0.9543243243243243","1","1","1"
"361","0.9616216216216216","0.9616216216216216","0.9616216216216216","1","1","1"
"363","0.9627027027027026","0.9627027027027026","0.9627027027027026","1","1","1"
"365","0.9508108108108108","0.9508108108108108","0.9508108108108108","1","1","1"
"367","0.9589189189189187","0.9589189189189187","0.9589189189189187","1","1","1"
"369","0.9594594594594593","0.9594594594594593","0.9594594594594593","1","1","1"
"371","0.9618918918918916","0.9618918918918916","0.9618918918918916","1","1","1"
"373","0.9524324324324323","0.9524324324324323","0.9524324324324323","1","1","1"
"375","0.9627027027027026","0.9627027027027026","0.9627027027027026","1","1","1"
"377","0.9664864864864863","0.9664864864864863","0.9664864864864863","1","1","1"
"379","0.9635135135135134","0.9635135135135134","0.9635135135135134","1","1","1"
"381","0.9581081081081078","0.9581081081081078","0.9581081081081078","1","1","1"
"383","0.969189189189189","0.969189189189189","0.969189189189189","1","1","1"
"385","0.9662162162162158","0.9662162162162158","0.9662162162162158","1","1","1"
"387","0.9629729729729728","0.9629729729729728","0.9629729729729728","1","1","1"
"389","0.9562162162162163","0.9562162162162163","0.9562162162162163","1","1","1"
"391","0.9654054054054052","0.9654054054054052","0.9654054054054052","1","1","1"
"393","0.9654054054054054","0.9654054054054054","0.9654054054054054","1","1","1"
"395","0.962432432432432","0.962432432432432","0.962432432432432","1","1","1"
"397","0.9578378378378378","0.9578378378378378","0.9578378378378378","1","1","1"
"399","0.9618918918918918","0.9618918918918918","0.9618918918918918","1","1","1"
"401","0.9613513513513514","0.9613513513513514","0.9613513513513514","1","1","1"
"403","0.9637837837837839","0.9637837837837839","0.9637837837837839","1","1","1"
"405","0.967027027027027","0.967027027027027","0.967027027027027","1","1","1"
"407","0.9667567567567567","0.9667567567567567","0.9667567567567567","1","1","1"
"409","0.9651351351351348","0.9651351351351348","0.9651351351351348","1","1","1"
"411","0.9613513513513514","0.9613513513513514","0.9613513513513514","1","1","1"
"413","0.9654054054054054","0.9654054054054054","0.9654054054054054","1","1","1"
"415","0.9724324324324324","0.9724324324324324","0.9724324324324324","1","1","1"
"417","0.9691891891891892","0.9691891891891892","0.9691891891891892","1","1","1"
"419","0.971891891891892","0.971891891891892","0.971891891891892","1","1","1"
"421","0.9740540540540539","0.9740540540540539","0.9740540540540539","1","1","1"
"423","0.973243243243243","0.973243243243243","0.973243243243243","1","1","1"
"425","0.9648648648648646","0.9648648648648646","0.9648648648648646","1","1","1"
"427","0.9694594594594592","0.9694594594594592","0.9694594594594592","1","1","1"
"429","0.9640540540540541","0.9640540540540541","0.9640540540540541","1","1","1"
"431","0.9610810810810809","0.9610810810810809","0.9610810810810809","1","1","1"
"433","0.9586486486486488","0.9586486486486488","0.9586486486486488","1","1","1"
"435","0.969189189189189","0.969189189189189","0.969189189189189","1","1","1"
"437","0.969189189189189","0.969189189189189","0.969189189189189","1","1","1"
"439","0.9727027027027028","0.9727027027027028","0.9727027027027028","1","1","1"
"441","0.9705405405405404","0.9705405405405404","0.9705405405405404","1","1","1"
"443","0.9654054054054054","0.9654054054054054","0.9654054054054054","1","1","1"
"445","0.9697297297297298","0.9697297297297298","0.9697297297297298","1","1","1"
"447","0.9708108108108109","0.9708108108108109","0.9708108108108109","1","1","1"
"449","0.9691891891891892","0.9691891891891892","0.9691891891891892","1","1","1"
"451","0.9729729729729726","0.9729729729729726","0.9729729729729726","1","1","1"
"453","0.9716216216216217","0.9716216216216217","0.9716216216216217","1","1","1"
"455","0.9735135135135136","0.9735135135135136","0.9735135135135136","1","1","1"
"457","0.9683783783783781","0.9683783783783781","0.9683783783783781","1","1","1"
"459","0.9724324324324322","0.9724324324324322","0.9724324324324322","1","1","1"
"461","0.9651351351351349","0.9651351351351349","0.9651351351351349","1","1","1"
"463","0.9778378378378374","0.9778378378378374","0.9778378378378374","1","1","1"
"465","0.9675675675675673","0.9675675675675673","0.9675675675675673","1","1","1"
"467","0.9721621621621623","0.9721621621621623","0.9721621621621623","1","1","1"
"469","0.9764864864864862","0.9764864864864862","0.9764864864864862","1","1","1"
"471","0.9729729729729728","0.9729729729729728","0.9729729729729728","1","1","1"
"473","0.9727027027027024","0.9727027027027024","0.9727027027027024","1","1","1"
"475","0.9651351351351349","0.9651351351351349","0.9651351351351349","1","1","1"
"477","0.9716216216216215","0.9716216216216215","0.9716216216216215","1","1","1"
"479","0.9791891891891891","0.9791891891891891","0.9791891891891891","1","1","1"
"481","0.969459459459459","0.969459459459459","0.969459459459459","1","1","1"
"483","0.9691891891891892","0.9691891891891892","0.9691891891891892","1","1","1"
"485","0.9740540540540539","0.9740540540540539","0.9740540540540539","1","1","1"
"487","0.9721621621621619","0.9721621621621619","0.9721621621621619","1","1","1"
"489","0.9678378378378375","0.9678378378378375","0.9678378378378375","1","1","1"
"491","0.9678378378378379","0.9678378378378379","0.9678378378378379","1","1","1"
"493","0.9759459459459457","0.9759459459459457","0.9759459459459457","1","1","1"
"495","0.977027027027027","0.977027027027027","0.977027027027027","1","1","1"
"497","0.9775675675675672","0.9775675675675672","0.9775675675675672","1","1","1"
"499","0.9675675675675673","0.9675675675675673","0.9675675675675673","1","1","1"
"501","0.9764864864864865","0.9764864864864865","0.9764864864864865","1","1","1"
"503","0.9783783783783779","0.9783783783783779","0.9783783783783779","1","1","1"
"505","0.9737837837837834","0.9737837837837834","0.9737837837837834","1","1","1"
"507","0.9756756756756754","0.9756756756756754","0.9756756756756754","1","1","1"
"509","0.9767567567567564","0.9767567567567564","0.9767567567567564","1","1","1"
"511","0.9745945945945943","0.9745945945945943","0.9745945945945943","1","1","1"
"513","0.975945945945946","0.975945945945946","0.975945945945946","1","1","1"
"515","0.9759459459459455","0.9759459459459455","0.9759459459459455","1","1","1"
"517","0.9756756756756754","0.9756756756756754","0.9756756756756754","1","1","1"
"519","0.9718918918918917","0.9718918918918917","0.9718918918918917","1","1","1"
"521","0.9710810810810809","0.9710810810810809","0.9710810810810809","1","1","1"
"523","0.9789189189189189","0.9789189189189189","0.9789189189189189","1","1","1"
"525","0.975945945945946","0.975945945945946","0.975945945945946","1","1","1"
"527","0.975135135135135","0.975135135135135","0.975135135135135","1","1","1"
"529","0.9767567567567564","0.9767567567567564","0.9767567567567564","1","1","1"
"531","0.9772972972972969","0.9772972972972969","0.9772972972972969","1","1","1"
"533","0.9756756756756754","0.9756756756756754","0.9756756756756754","1","1","1"
"535","0.9808108108108105","0.9808108108108105","0.9808108108108105","1","1","1"
"537","0.975945945945946","0.975945945945946","0.975945945945946","1","1","1"
"539","0.9805405405405402","0.9805405405405402","0.9805405405405402","1","1","1"
"541","0.9708108108108107","0.9708108108108107","0.9708108108108107","1","1","1"
"543","0.9727027027027025","0.9727027027027025","0.9727027027027025","1","1","1"
"545","0.9705405405405404","0.9705405405405404","0.9705405405405404","1","1","1"
"547","0.9810810810810808","0.9810810810810808","0.9810810810810808","1","1","1"
