audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,211,0.790112063,0.816585366,,,211,0.729571523,0.766829268,,,,,,,,,,
,212,0.791878708,0.830243902,,,212,0.731839156,0.774634146,,,,,,,,,,
,213,0.791166777,0.822439024,,,213,0.729176005,0.766829268,,,,,,,,,,
,214,0.793302571,0.819512195,,,214,0.732603823,0.762926829,,,,,,,,,,
,215,0.794093606,0.818536585,,,215,0.7313118,0.763902439,,,,,,,,,,
,216,0.788398154,0.807804878,,,216,0.72656559,0.770731707,,,,,,,,,,
,217,0.790586684,0.80097561,,,217,0.731601846,0.757073171,,,,,,,,,,
,218,0.790006592,0.80097561,,,218,0.732630191,0.76097561,,,,,,,,,,
,219,0.794093606,0.813658537,,,219,0.73410679,0.763902439,,,,,,,,,,
,220,0.793698088,0.79902439,,,220,0.733553065,0.76097561,,,,,,,,,,
,221,0.793856295,0.817560976,,,221,0.733025709,0.76097561,,,,,,,,,,
,222,0.793302571,0.822439024,,,222,0.733342123,0.75804878,,,,,,,,,,
,223,0.795965722,0.825365854,,,223,0.735135135,0.76195122,,,,,,,,,,
,224,0.791114041,0.806829268,,,224,0.730705339,0.76,,,,,,,,,,
,225,0.794225445,0.818536585,,,225,0.733210283,0.76195122,,,,,,,,,,
,226,0.796941332,0.813658537,,,226,0.735398813,0.753170732,,,,,,,,,,
,227,0.795596572,0.829268293,,,227,0.735266974,0.757073171,,,,,,,,,,
,228,0.796783125,0.823414634,,,228,0.735056032,0.773658537,,,,,,,,,,
,229,0.797257746,0.816585366,,,229,0.734818721,0.76195122,,,,,,,,,,
,230,0.797547792,0.803902439,,,230,0.734555043,0.766829268,,,,,,,,,,
,231,0.79659855,0.821463415,,,231,0.735609756,0.771707317,,,,,,,,,,
,232,0.796677653,0.822439024,,,232,0.73592617,0.767804878,,,,,,,,,,
,233,0.799103494,0.814634146,,,233,0.737270929,0.76,,,,,,,,,,
