"Step","decent-capybara-1 - train_accuracy","decent-capybara-1 - train_accuracy__MIN","decent-capybara-1 - train_accuracy__MAX","decent-capybara-1 - val_accuracy","decent-capybara-1 - val_accuracy__MIN","decent-capybara-1 - val_accuracy__MAX"
"501","0.9494594594594593","0.9494594594594593","0.9494594594594593","1","1","1"
"503","0.9470270270270273","0.9470270270270273","0.9470270270270273","1","1","1"
"505","0.9402702702702702","0.9402702702702702","0.9402702702702702","1","1","1"
"507","0.9408108108108106","0.9408108108108106","0.9408108108108106","1","1","1"
"509","0.943783783783784","0.943783783783784","0.943783783783784","1","1","1"
"511","0.9397297297297298","0.9397297297297298","0.9397297297297298","1","1","1"
"513","0.9437837837837838","0.9437837837837838","0.9437837837837838","1","1","1"
"515","0.9400000000000001","0.9400000000000001","0.9400000000000001","1","1","1"
"517","0.9364864864864867","0.9364864864864867","0.9364864864864867","1","1","1"
"519","0.9364864864864865","0.9364864864864865","0.9364864864864865","1","1","1"
"521","0.9375675675675677","0.9375675675675677","0.9375675675675677","1","1","1"
"523","0.9467567567567567","0.9467567567567567","0.9467567567567567","1","1","1"
"525","0.9429729729729732","0.9429729729729732","0.9429729729729732","1","1","1"
"527","0.9394594594594592","0.9394594594594592","0.9394594594594592","1","1","1"
"529","0.9443243243243244","0.9443243243243244","0.9443243243243244","1","1","1"
"531","0.9483783783783782","0.9483783783783782","0.9483783783783782","1","1","1"
"533","0.9459459459459462","0.9459459459459462","0.9459459459459462","1","1","1"
"535","0.9521621621621623","0.9521621621621623","0.9521621621621623","1","1","1"
"537","0.95","0.95","0.95","1","1","1"
"539","0.951891891891892","0.951891891891892","0.951891891891892","1","1","1"
"541","0.935675675675676","0.935675675675676","0.935675675675676","1","1","1"
"543","0.9378378378378377","0.9378378378378377","0.9378378378378377","1","1","1"
"545","0.9386486486486487","0.9386486486486487","0.9386486486486487","1","1","1"
"547","0.951891891891892","0.951891891891892","0.951891891891892","1","1","1"
