stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,785,0.932432432,0.94
,786,0.933513514,0.95
,787,0.92972973,0.94
,788,0.932972973,0.94
,789,0.936756757,0.95
,790,0.933783784,0.96
,791,0.935135135,0.95
,792,0.936216216,0.93
,793,0.934594595,0.94
,794,0.934864865,0.94
,795,0.935135135,0.94
,796,0.936216216,0.94
,797,0.936216216,0.93
,798,0.937567568,0.92
,799,0.934594595,0.92
,800,0.938108108,0.94
,801,0.934864865,0.93
,802,0.933783784,0.95
,803,0.94,0.93
,804,0.936756757,0.93
,805,0.936486486,0.94
,806,0.934594595,0.94
,807,0.938378378,0.94
,808,0.938378378,0.93
,809,0.932162162,0.94
,810,0.935405405,0.95
,811,0.932432432,0.93
,812,0.934054054,0.92
,813,0.938378378,0.94
,814,0.935945946,0.94
,815,0.936216216,0.94
,816,0.935675676,0.93
,817,0.937837838,0.93
,818,0.938108108,0.93
,819,0.937027027,0.94
,820,0.939189189,0.95
,821,0.938648649,0.94
,822,0.937027027,0.94
,823,0.93972973,0.94
,824,0.936216216,0.95
,825,0.94,0.95
,826,0.938378378,0.95
,827,0.937297297,0.94
,828,0.938648649,0.92
,829,0.941351351,0.92
,830,0.938378378,0.92
,831,0.937297297,0.92
,832,0.936756757,0.92
,833,0.94,0.93
,834,0.936486486,0.94
,835,0.942702703,0.96
,836,0.941351351,0.96
,837,0.938648649,0.96
,838,0.937567568,0.94
,839,0.93972973,0.95
,840,0.941621622,0.95
,841,0.941891892,0.95
,842,0.941891892,0.95
,843,0.940810811,0.95
,844,0.938648649,0.93
,845,0.94027027,0.93
,846,0.93972973,0.94
,847,0.938378378,0.93
,848,0.940540541,0.93
,849,0.943513514,0.93
,850,0.941081081,0.93
,851,0.941081081,0.94
,852,0.941891892,0.95
,853,0.940810811,0.94
,854,0.940540541,0.95
,855,0.943513514,0.95
,856,0.941891892,0.96
,857,0.94027027,0.97
,858,0.94,0.95
,859,0.94027027,0.96
,860,0.942162162,0.94
,861,0.942162162,0.96
,862,0.941891892,0.94
,863,0.940810811,0.94
,864,0.941351351,0.95
,865,0.944324324,0.96
,866,0.941621622,0.95
,867,0.945675676,0.94
,868,0.94027027,0.93
,869,0.943243243,0.94
,870,0.941081081,0.94
